time,loat_abmc_block,loat_abmc,loat_bmc,loat_adcl,spacer,z3_bmc,golem_tpa,golem_bmc,eldarica
1,46,45,28,41,30,32,30,26,0
2,49,49,31,44,33,38,35,29,2
3,51,51,33,45,35,38,37,33,12
4,51,51,34,45,36,38,40,34,12
5,51,51,35,45,36,38,41,36,12
6,54,53,35,48,36,40,41,36,13
7,56,56,36,48,37,42,41,38,14
8,57,57,39,48,39,42,41,38,14
9,58,58,40,49,39,44,43,38,14
10,58,58,40,49,40,45,43,38,15
11,59,59,41,49,40,47,44,38,16
12,59,59,41,49,40,47,44,38,17
13,59,59,41,50,40,47,45,38,18
14,59,59,41,50,40,47,45,38,22
15,59,59,43,50,40,47,45,38,23
16,59,59,43,50,41,47,45,38,23
17,60,60,44,50,41,47,45,39,23
18,61,61,45,50,41,47,45,39,23
19,61,61,45,50,41,47,45,40,23
20,61,61,46,50,42,47,46,40,23
21,61,61,46,50,42,47,46,40,23
22,62,62,46,50,42,47,46,40,23
23,62,62,46,50,42,47,47,41,24
24,62,62,46,50,42,48,47,42,24
25,62,62,46,50,42,48,48,42,24
26,62,62,46,50,42,49,49,42,24
27,62,62,46,50,43,49,49,42,24
28,62,62,46,50,43,50,49,42,24
29,62,62,46,50,43,50,49,43,24
30,62,62,46,50,43,50,49,43,24
31,62,62,46,50,43,50,49,44,25
32,62,62,47,50,43,50,49,44,25
33,62,62,47,50,43,50,49,44,26
34,62,62,47,50,43,50,49,44,26
35,62,62,47,50,43,50,49,44,26
36,62,62,47,51,43,50,49,44,26
37,62,62,47,51,43,51,49,44,26
38,62,62,48,52,43,51,49,44,26
39,62,62,49,52,43,51,49,44,26
40,62,62,49,52,43,51,50,44,26
41,62,63,49,52,43,51,50,44,26
42,63,63,49,52,43,51,50,44,26
43,63,63,50,53,44,51,50,44,26
44,63,63,50,53,44,51,50,44,26
45,63,63,51,53,44,51,50,44,26
46,63,63,51,53,44,51,50,44,26
47,63,63,51,53,44,51,50,44,27
48,63,63,51,53,44,51,50,44,27
49,63,63,51,53,44,51,50,44,27
50,63,63,51,53,44,51,50,45,27
51,63,63,52,53,45,51,50,45,27
52,63,63,52,53,45,52,51,45,27
53,63,63,52,53,45,52,51,45,27
54,63,63,52,53,45,52,51,45,27
55,63,63,52,53,45,53,51,45,27
56,63,63,52,53,45,53,51,45,27
57,63,63,52,53,45,53,51,47,27
58,63,63,52,53,45,53,51,47,27
59,63,63,52,53,45,53,52,47,27
60,63,63,54,53,45,53,52,47,27
61,63,63,54,53,45,53,52,47,27
62,63,63,54,53,45,53,52,47,27
63,63,63,54,53,45,53,52,47,27
64,63,63,54,53,45,53,52,48,27
65,63,63,54,53,45,53,52,48,27
66,63,63,54,53,45,53,52,48,27
67,63,63,54,53,45,53,52,48,27
68,63,63,54,53,45,53,52,48,27
69,63,63,54,53,46,53,52,48,27
70,63,63,54,53,46,54,52,48,27
71,63,63,54,53,47,54,52,48,27
72,64,64,54,53,47,54,52,48,27
73,64,64,54,53,47,54,52,48,27
74,64,65,54,53,47,54,52,48,27
75,65,65,54,53,47,54,52,48,27
76,65,65,54,53,47,54,52,48,27
77,65,65,54,53,47,54,52,48,27
78,65,65,54,53,47,54,52,48,27
79,65,65,54,53,47,54,52,48,27
80,65,65,54,53,47,54,52,49,27
81,65,65,54,53,47,54,52,49,27
82,65,65,54,53,47,54,52,49,27
83,65,66,55,53,47,54,52,49,27
84,66,66,55,53,47,54,52,49,27
85,66,66,55,53,47,54,53,49,27
86,66,66,55,53,47,54,53,49,27
87,67,67,55,53,47,54,54,49,27
88,67,67,55,53,47,54,54,49,27
89,67,67,55,53,48,54,54,49,27
90,67,67,55,53,48,54,54,49,27
91,67,67,55,53,48,54,54,49,27
92,67,67,55,53,48,54,55,49,27
93,67,67,55,53,48,54,55,49,27
94,67,67,55,53,48,54,55,49,27
95,67,67,55,53,48,54,56,49,27
96,67,67,55,53,48,54,57,49,27
97,67,68,55,53,48,54,57,49,27
98,67,68,55,53,48,54,57,49,27
99,67,68,55,53,48,54,58,49,27
100,67,68,55,53,48,54,59,49,27
101,67,68,55,53,48,54,59,49,27
102,67,68,55,54,48,54,59,49,27
103,67,68,55,54,48,54,59,50,27
104,67,68,55,54,48,54,59,50,27
105,67,68,55,54,48,54,59,50,27
106,67,68,55,54,48,54,59,50,27
107,67,68,56,54,48,54,59,50,27
108,67,68,56,54,48,54,59,50,27
109,67,68,56,54,48,54,59,50,27
110,67,68,57,54,48,54,59,50,27
111,67,68,57,54,48,54,59,50,27
112,67,68,57,54,48,54,59,50,27
113,67,68,57,54,48,54,60,50,27
114,67,68,57,54,48,54,60,51,27
115,67,68,57,54,48,54,60,51,27
116,67,68,57,54,48,54,60,51,27
117,67,68,57,54,48,54,60,51,27
118,67,68,57,54,48,54,60,51,27
119,68,68,57,54,48,54,60,51,27
120,68,69,57,54,48,54,60,51,27
121,68,69,57,54,48,54,60,51,27
122,68,69,57,54,48,54,60,51,27
123,68,69,57,54,48,54,60,51,27
124,68,69,57,54,48,54,60,51,27
125,68,69,57,54,48,55,60,51,27
126,68,69,57,54,48,55,60,52,27
127,68,69,57,54,48,55,60,52,27
128,68,69,57,54,48,55,60,52,27
129,68,69,57,54,48,55,60,52,27
130,68,69,57,54,48,55,60,52,27
131,68,69,57,54,48,55,60,52,27
132,68,69,57,54,48,55,60,52,27
133,68,69,57,54,48,55,60,52,27
134,68,69,57,55,48,55,60,52,27
135,68,69,57,55,48,55,60,52,27
136,68,69,57,55,48,55,60,52,27
137,68,69,57,55,48,55,60,53,27
138,68,69,57,55,48,55,60,53,27
139,68,69,57,55,48,55,60,53,27
140,68,69,57,55,48,55,60,53,27
141,68,69,57,55,48,55,60,53,27
142,68,69,57,55,48,55,60,53,27
143,68,69,57,55,48,55,60,53,27
144,68,69,57,55,48,55,60,53,27
145,68,69,57,55,48,55,60,54,27
146,69,69,57,55,48,55,60,54,27
147,69,69,57,55,48,55,60,54,27
148,69,70,57,55,49,55,60,54,27
149,69,70,57,55,49,55,60,54,27
150,69,70,57,55,49,55,60,54,27
151,69,70,57,55,49,55,60,54,27
152,69,70,57,55,49,55,60,54,27
153,69,70,57,55,49,55,60,54,27
154,69,70,57,55,49,55,60,54,27
155,69,70,57,55,49,55,60,54,27
156,69,70,57,55,49,55,60,54,27
157,70,70,57,55,49,55,60,54,27
158,70,70,57,55,49,55,60,54,27
159,70,70,57,55,49,55,60,54,27
160,70,70,57,55,49,55,60,54,27
161,70,70,57,55,49,55,60,54,27
162,70,70,57,55,49,55,60,54,27
163,70,70,57,55,49,55,60,54,27
164,70,70,57,55,49,55,60,54,27
165,70,70,57,55,49,55,60,54,27
166,70,70,57,55,49,55,60,54,27
167,70,70,57,55,50,55,60,54,27
168,70,70,57,56,50,55,60,54,27
169,70,70,57,56,50,55,60,54,27
170,70,70,57,56,50,55,60,54,27
171,70,70,57,56,50,55,60,54,27
172,70,70,57,56,50,55,60,54,27
173,70,70,57,56,50,56,60,54,27
174,70,70,57,56,50,56,60,54,27
175,70,70,57,56,50,56,60,54,27
176,70,70,57,56,50,56,60,54,27
177,70,71,57,56,50,56,60,54,27
178,70,71,57,56,50,56,60,54,27
179,70,71,57,56,50,56,60,54,27
180,70,71,57,56,50,56,60,54,27
181,70,71,57,56,50,56,60,54,27
182,70,71,57,56,50,56,60,54,27
183,70,71,57,56,50,56,60,54,27
184,70,71,57,56,50,56,60,54,27
185,70,71,57,56,50,56,60,54,27
186,70,71,57,56,50,56,60,54,27
187,70,71,57,56,50,56,60,54,27
188,70,71,57,56,50,56,60,54,27
189,70,71,58,56,50,57,60,54,27
190,70,71,58,56,50,57,60,54,27
191,70,71,58,56,50,57,60,54,27
192,70,71,58,56,50,57,60,54,27
193,70,71,58,56,50,57,60,54,27
194,70,71,58,56,50,57,60,54,27
195,70,71,58,56,50,57,60,54,27
196,70,71,58,56,51,57,60,54,27
197,70,71,58,56,51,57,60,54,27
198,70,71,58,56,51,57,60,54,27
199,70,71,58,56,51,57,60,54,27
200,70,71,58,56,51,57,60,54,27
201,70,71,58,56,51,57,60,54,27
202,70,71,59,56,51,57,60,54,27
203,70,71,59,56,51,57,60,54,27
204,70,71,59,56,51,57,60,54,27
205,70,71,59,56,51,57,60,54,27
206,70,71,59,56,51,57,60,54,27
207,70,71,59,56,51,57,60,54,27
208,70,71,59,56,51,57,60,54,27
209,71,72,59,56,51,57,60,54,27
210,71,72,59,56,51,57,60,54,27
211,71,72,59,56,51,57,60,54,27
212,71,72,59,56,51,57,60,54,27
213,71,72,59,56,51,57,60,54,28
214,71,72,59,56,51,57,60,54,28
215,71,72,59,56,51,57,60,54,28
216,71,72,59,56,51,57,60,54,28
217,71,72,59,56,51,57,60,54,28
218,71,72,59,56,51,57,60,54,28
219,71,72,59,56,51,57,60,54,28
220,71,72,59,56,51,57,60,54,28
221,71,72,59,56,51,57,60,54,28
222,71,72,59,56,51,57,60,54,28
223,71,72,59,56,51,57,60,54,28
224,71,72,59,56,51,57,60,54,28
225,71,72,59,56,51,57,60,54,28
226,71,72,59,56,51,57,61,54,28
227,71,72,59,56,51,57,61,54,28
228,71,72,59,56,51,57,61,54,28
229,71,72,59,56,51,57,61,54,28
230,71,72,59,56,51,57,61,54,28
231,71,72,59,56,51,57,61,54,28
232,71,72,59,56,51,57,61,54,28
233,71,72,59,56,51,57,61,54,28
234,71,72,59,56,51,57,61,54,28
235,71,72,60,56,51,57,61,54,28
236,71,72,60,56,51,57,61,54,28
237,71,72,60,56,51,57,61,54,28
238,71,72,60,56,51,57,61,54,28
239,71,72,60,56,51,57,61,54,28
240,71,72,60,56,51,57,61,54,28
241,71,72,60,56,51,57,61,54,28
242,71,72,60,56,51,57,61,54,28
243,71,72,60,56,51,57,61,54,28
244,71,72,60,56,51,57,61,55,28
245,71,72,60,56,51,57,61,55,28
246,71,72,60,56,51,57,61,55,28
247,71,72,60,56,51,57,61,55,28
248,71,72,60,56,51,57,61,55,28
249,71,72,60,56,51,57,61,55,28
250,71,72,60,56,51,57,61,55,28
251,71,72,60,56,51,57,61,55,28
252,71,72,60,56,51,57,61,55,28
253,71,72,60,56,51,57,61,55,28
254,71,72,60,56,51,57,62,55,28
255,71,72,60,56,51,57,62,55,29
256,71,72,60,56,51,57,62,55,29
257,71,72,60,56,51,57,62,55,29
258,71,72,60,56,51,57,62,55,29
259,71,72,60,56,51,57,63,55,29
260,71,72,60,56,51,57,63,55,29
261,71,72,60,56,51,57,63,55,29
262,71,72,60,56,51,57,63,55,29
263,71,72,60,56,51,57,63,55,29
264,71,72,60,56,51,57,63,55,29
265,71,72,60,56,51,57,63,55,29
266,71,72,60,56,51,57,63,55,29
267,71,72,60,56,51,57,63,55,29
268,71,72,60,56,51,57,63,55,29
269,71,72,60,56,51,57,63,55,29
270,71,72,60,56,51,57,63,55,29
271,71,72,60,56,51,57,63,55,29
272,71,72,60,56,51,57,63,55,29
273,71,72,60,56,51,57,63,55,29
274,71,72,60,56,51,57,63,55,29
275,71,72,60,56,51,57,63,55,29
276,71,72,60,56,52,57,63,55,29
277,71,72,60,56,52,57,63,55,29
278,71,72,60,56,52,57,63,55,29
279,71,72,60,56,52,57,63,55,29
280,71,72,60,56,52,57,63,55,29
281,71,72,60,56,52,57,63,55,29
282,71,72,60,56,52,57,63,55,29
283,71,72,60,56,52,58,63,55,29
284,71,72,60,56,52,58,63,55,29
285,71,72,60,56,52,58,63,55,29
286,71,72,60,56,52,58,63,55,29
287,71,72,60,56,52,58,63,55,29
288,71,72,60,56,52,58,63,55,29
289,71,72,60,56,52,58,63,55,29
290,71,72,60,56,52,58,63,55,29
291,71,72,60,56,52,58,63,55,29
292,71,72,60,56,52,58,63,55,29
293,72,73,60,56,52,58,63,55,29
294,72,73,60,56,52,58,63,55,29
295,72,73,60,56,52,58,63,55,29
296,72,73,60,56,52,58,63,55,29
297,72,73,60,56,52,58,63,55,29
298,72,73,60,56,52,58,63,55,29
299,72,73,60,56,52,58,63,55,29
